symbol,companyName,price,marketCap,sector,industry,country,exchange
AAPL,Apple Inc.,325.13,4775300056280,Technology,Consumer Electronics,US,NASDAQ
MSFT,Microsoft Corporation,501.02,3720349061000,Technology,Software - Infrastructure,US,NASDAQ
NVDA,NVIDIA Corporation,217.44,5266614240000,Technology,Semiconductors,US,NASDAQ
AMZN,"Amazon.com, Inc.",254.92,2742199932000,Consumer Cyclical,Specialty Retail,US,NASDAQ
GOOGL,Alphabet Inc.,335.02,4054449323036,Communication Services,Internet Content & Information,US,NASDAQ
META,"Meta Platforms, Inc.",578.54,1473822880208,Communication Services,Internet Content & Information,US,NASDAQ
AVGO,Broadcom Inc.,369.68,1758782174400,Technology,Semiconductors,US,NASDAQ
ORCL,Oracle Corporation,141.261,406898072670,Technology,Software - Infrastructure,US,NYSE
CRM,"Salesforce, Inc.",258.11,211392090000,Technology,Software - Application,US,NYSE
AMD,"Advanced Micro Devices, Inc.",459.61,749440066000,Technology,Semiconductors,US,NASDAQ
INTC,Intel Corp.,88.97,448764657491,Technology,Semiconductors,US,NASDAQ
TSLA,"Tesla, Inc.",356.09,1406394331529,Consumer Cyclical,Auto - Manufacturers,US,NASDAQ
WMT,Walmart Inc.,105.92,842919833600,Consumer Defensive,Discount Stores,US,NASDAQ
COST,Costco Wholesale Corporation,939.96,416852520840,Consumer Defensive,Discount Stores,US,NASDAQ
HD,"The Home Depot, Inc.",319.77,318848103090,Consumer Cyclical,Home Improvement,US,NYSE
MCD,McDonald's Corporation,261.11,185520221660,Consumer Cyclical,Restaurants,US,NYSE
NKE,"NIKE, Inc.",38.12,56410403897,Consumer Cyclical,Apparel - Footwear & Accessories,US,NYSE
LOW,"Lowe's Companies, Inc.",200.057,112173360299,Consumer Cyclical,Home Improvement,US,NYSE
TGT,Target Corporation,163.76,74378318160,Consumer Defensive,Discount Stores,US,NYSE
SBUX,Starbucks Corporation,106.15,121011000000,Consumer Cyclical,Restaurants,US,NASDAQ
JPM,JPMorgan Chase & Co.,354.95,951092074500,Financial Services,Banks - Diversified,US,NYSE
V,Visa Inc.,372.67,695792484123,Financial Services,Financial - Credit Services,US,NYSE
MA,Mastercard Incorporated,581.1,509645619600,Financial Services,Financial - Credit Services,US,NYSE
BAC,Bank of America Corporation,61.99,439917614100,Financial Services,Banks - Diversified,US,NYSE
WFC,Wells Fargo & Company,87.05,263239200000,Financial Services,Banks - Diversified,US,NYSE
GS,"The Goldman Sachs Group, Inc.",1002.56,295762217920,Financial Services,Financial - Capital Markets,US,NYSE
MS,Morgan Stanley,211.16,333058444800,Financial Services,Financial - Capital Markets,US,NYSE
BLK,"BlackRock, Inc.",1128.1,174849859500,Financial Services,Asset Management,US,NYSE
C,Citigroup Inc.,132.54,227294171400,Financial Services,Banks - Diversified,US,NYSE
AXP,American Express Company,324.19,218928748900,Financial Services,Financial - Credit Services,US,NYSE
JNJ,Johnson & Johnson,271.19,653540351435,Healthcare,Drug Manufacturers - General,US,NYSE
LLY,Eli Lilly and Company,1159.9312,1092354768219,Healthcare,Drug Manufacturers - General,US,NYSE
UNH,UnitedHealth Group Incorporated,396.3,359897627305,Healthcare,Medical - Healthcare Plans,US,NYSE
MRK,"Merck & Co., Inc.",149.94,370324810800,Healthcare,Drug Manufacturers - General,US,NYSE
ABBV,AbbVie Inc.,259.99,459348465532,Healthcare,Drug Manufacturers - General,US,NYSE
PFE,Pfizer Inc.,28.55,162719012000,Healthcare,Drug Manufacturers - General,US,NYSE
TMO,Thermo Fisher Scientific Inc.,600.5,223158410500,Healthcare,Medical - Diagnostics & Research,US,NYSE
ABT,Abbott Laboratories,108.97,188559876047,Healthcare,Medical - Devices,US,NYSE
AMGN,Amgen Inc.,438.12,236456868960,Healthcare,Drug Manufacturers - General,US,NASDAQ
ISRG,"Intuitive Surgical, Inc.",369.25,130447901500,Healthcare,Medical - Instruments & Supplies,US,NASDAQ
XOM,Exxon Mobil Corporation,164.57,682053782200,Energy,Oil & Gas Integrated,US,NYSE
CVX,Chevron Corporation,211.05,420327180000,Energy,Oil & Gas Integrated,US,NYSE
CAT,Caterpillar Inc.,779.16,358909924920,Industrials,Agricultural - Machinery,US,NYSE
GE,GE Aerospace,331.09,343526572429,Industrials,Aerospace & Defense,US,NYSE
HON,Honeywell International Inc.,209.98,66551061200,Industrials,Conglomerates,US,NASDAQ
UPS,"United Parcel Service, Inc.",102.67,87218387383,Industrials,Integrated Freight & Logistics,US,NYSE
RTX,RTX Corporation,205.16,276506052001,Industrials,Aerospace & Defense,US,NYSE
DE,Deere & Company,676.08,182499294294,Industrials,Agricultural - Machinery,US,NYSE
BA,The Boeing Company,205.66,162547494200,Industrials,Aerospace & Defense,US,NYSE
LIN,Linde plc,486.76,225175176000,Basic Materials,Chemicals - Specialty,GB,NASDAQ
