symbol,companyName,price,marketCap,sector,industry,country,exchange,marketCap_billions
AAPL,Apple Inc.,325.13,4775300056280,Technology,Consumer Electronics,US,NASDAQ,4775.3
MSFT,Microsoft Corporation,501.02,3720349061000,Technology,Software - Infrastructure,US,NASDAQ,3720.35
NVDA,NVIDIA Corporation,217.44,5266614240000,Technology,Semiconductors,US,NASDAQ,5266.61
AMZN,"Amazon.com, Inc.",254.92,2742199932000,Consumer Cyclical,Specialty Retail,US,NASDAQ,2742.2
GOOGL,Alphabet Inc.,335.02,4054449323036,Communication Services,Internet Content & Information,US,NASDAQ,4054.45
META,"Meta Platforms, Inc.",578.54,1473822880208,Communication Services,Internet Content & Information,US,NASDAQ,1473.82
AVGO,Broadcom Inc.,369.68,1758782174400,Technology,Semiconductors,US,NASDAQ,1758.78
ORCL,Oracle Corporation,141.261,406898072670,Technology,Software - Infrastructure,US,NYSE,406.9
CRM,"Salesforce, Inc.",258.11,211392090000,Technology,Software - Application,US,NYSE,211.39
AMD,"Advanced Micro Devices, Inc.",459.61,749440066000,Technology,Semiconductors,US,NASDAQ,749.44
INTC,Intel Corp.,88.97,448764657491,Technology,Semiconductors,US,NASDAQ,448.76
TSLA,"Tesla, Inc.",356.09,1406394331529,Consumer Cyclical,Auto - Manufacturers,US,NASDAQ,1406.39
WMT,Walmart Inc.,105.92,842919833600,Consumer Defensive,Discount Stores,US,NASDAQ,842.92
COST,Costco Wholesale Corporation,939.96,416852520840,Consumer Defensive,Discount Stores,US,NASDAQ,416.85
HD,"The Home Depot, Inc.",319.77,318848103090,Consumer Cyclical,Home Improvement,US,NYSE,318.85
MCD,McDonald's Corporation,261.11,185520221660,Consumer Cyclical,Restaurants,US,NYSE,185.52
NKE,"NIKE, Inc.",38.12,56410403897,Consumer Cyclical,Apparel - Footwear & Accessories,US,NYSE,56.41
LOW,"Lowe's Companies, Inc.",200.057,112173360299,Consumer Cyclical,Home Improvement,US,NYSE,112.17
TGT,Target Corporation,163.76,74378318160,Consumer Defensive,Discount Stores,US,NYSE,74.38
SBUX,Starbucks Corporation,106.15,121011000000,Consumer Cyclical,Restaurants,US,NASDAQ,121.01
JPM,JPMorgan Chase & Co.,354.95,951092074500,Financial Services,Banks - Diversified,US,NYSE,951.09
V,Visa Inc.,372.67,695792484123,Financial Services,Financial - Credit Services,US,NYSE,695.79
MA,Mastercard Incorporated,581.1,509645619600,Financial Services,Financial - Credit Services,US,NYSE,509.65
BAC,Bank of America Corporation,61.99,439917614100,Financial Services,Banks - Diversified,US,NYSE,439.92
WFC,Wells Fargo & Company,87.05,263239200000,Financial Services,Banks - Diversified,US,NYSE,263.24
GS,"The Goldman Sachs Group, Inc.",1002.56,295762217920,Financial Services,Financial - Capital Markets,US,NYSE,295.76
MS,Morgan Stanley,211.16,333058444800,Financial Services,Financial - Capital Markets,US,NYSE,333.06
BLK,"BlackRock, Inc.",1128.1,174849859500,Financial Services,Asset Management,US,NYSE,174.85
C,Citigroup Inc.,132.54,227294171400,Financial Services,Banks - Diversified,US,NYSE,227.29
AXP,American Express Company,324.19,218928748900,Financial Services,Financial - Credit Services,US,NYSE,218.93
JNJ,Johnson & Johnson,271.19,653540351435,Healthcare,Drug Manufacturers - General,US,NYSE,653.54
LLY,Eli Lilly and Company,1159.9312,1092354768219,Healthcare,Drug Manufacturers - General,US,NYSE,1092.35
UNH,UnitedHealth Group Incorporated,396.3,359897627305,Healthcare,Medical - Healthcare Plans,US,NYSE,359.9
MRK,"Merck & Co., Inc.",149.94,370324810800,Healthcare,Drug Manufacturers - General,US,NYSE,370.32
ABBV,AbbVie Inc.,259.99,459348465532,Healthcare,Drug Manufacturers - General,US,NYSE,459.35
PFE,Pfizer Inc.,28.55,162719012000,Healthcare,Drug Manufacturers - General,US,NYSE,162.72
TMO,Thermo Fisher Scientific Inc.,600.5,223158410500,Healthcare,Medical - Diagnostics & Research,US,NYSE,223.16
ABT,Abbott Laboratories,108.97,188559876047,Healthcare,Medical - Devices,US,NYSE,188.56
AMGN,Amgen Inc.,438.12,236456868960,Healthcare,Drug Manufacturers - General,US,NASDAQ,236.46
ISRG,"Intuitive Surgical, Inc.",369.25,130447901500,Healthcare,Medical - Instruments & Supplies,US,NASDAQ,130.45
XOM,Exxon Mobil Corporation,164.57,682053782200,Energy,Oil & Gas Integrated,US,NYSE,682.05
CVX,Chevron Corporation,211.05,420327180000,Energy,Oil & Gas Integrated,US,NYSE,420.33
CAT,Caterpillar Inc.,779.16,358909924920,Industrials,Agricultural - Machinery,US,NYSE,358.91
GE,GE Aerospace,331.09,343526572429,Industrials,Aerospace & Defense,US,NYSE,343.53
HON,Honeywell International Inc.,209.98,66551061200,Industrials,Conglomerates,US,NASDAQ,66.55
UPS,"United Parcel Service, Inc.",102.67,87218387383,Industrials,Integrated Freight & Logistics,US,NYSE,87.22
RTX,RTX Corporation,205.16,276506052001,Industrials,Aerospace & Defense,US,NYSE,276.51
DE,Deere & Company,676.08,182499294294,Industrials,Agricultural - Machinery,US,NYSE,182.5
BA,The Boeing Company,205.66,162547494200,Industrials,Aerospace & Defense,US,NYSE,162.55
LIN,Linde plc,486.76,225175176000,Basic Materials,Chemicals - Specialty,GB,NASDAQ,225.18
